NAME,AREA,POINT,LAT1,LONG1,LAT2,LONG2,LAT3,LONG3,LAT4,LONG4,LAT5,LONG5
Macedon Ranges,VIC,N,-37.395289,144.410637,-37.319209,144.690122,-37.459137,144.739893,-37.505468,144.572393,,
Yarra Ranges,VIC,N,-37.632558,145.433478,-38.024895,145.624339,-38.073068,146.231176,-37.269303,145.878819,,
Brisbane Ranges,VIC,N,-37.743536,144.332574,-37.988696,144.231524,-37.883057,144.134315,-37.721588,144.243306,,
Strzelecki Ranges,VIC,N,-38.333491,146.783987,-38.788872,146.150725,-38.510681,145.492019,-38.189204,146.215748,,
The Otways,VIC,N,-38.755776,143.381028,-38.292719,144.07042,-38.401498,144.228348,-38.865996,143.521104,,
Wilsons Promontory,VIC,N,-38.817544,146.080745,-38.779501,146.464558,-39.133783,146.450201,-39.14195,146.349701,,
The You Yangs,VIC,N,-37.902091,144.408555,-37.918151,144.462642,-37.974333,144.427747,-37.955304,144.373369,,
Lake Eyre,SA,N,-27.936179,136.621979,-27.79758,137.5104,-29.13558,138.091794,-29.534219,137.131515,,
Lake Frome,SA,N,-30.858706,139.457053,-30.249663,139.927375,-30.402282,140.104187,-31.158762,139.870795,,
Lake Torrens,SA,N,-30.163758,137.074856,-30.418049,137.772923,-31.377367,138.176493,-31.989952,137.702025,,
Lake Gairdner,SA,N,-31.048664,135.347554,-31.23356,136.118471,-32.242209,136.385327,-32.36036,135.868559,,
Lake Blanche,SA,N,-29.183063,139.340121,-29.094841,139.594163,-29.31125,139.878813,-29.492573,139.814537,,
Western Tiers,TAS,N,-41.324414,146.095394,-42.093933,147.527711,-42.290139,147.294212,-41.62311,146.069766,,
Central Highlands,TAS,N,-41.561769,146.337617,-42.151815,147.430327,-42.605856,146.975031,-42.391017,146.105416,,
Storm Bay,TAS,N,-43.056976,147.348988,-42.999317,147.625768,-43.237987,147.793556,-43.252612,147.424995,,
Western Port Bay,VIC,N,-38.479147,145.017442,-38.195285,145.25023,-38.262899,145.597455,-38.53655,145.40966,,
Mount Dandenong,VIC,N,-37.794619,145.359146,-37.824829,145.411967,-37.914619,145.361739,-37.884701,145.299844,,
The Grampians,VIC,N,-36.864025,142.397926,-37.331786,142.660822,-37.657269,142.322813,-37.338677,142.155253,,
Gulf of St Vincent,SA,N,-34.1,138.08,-34.77,138.56,-35.56,138.15,-35.12,137.73,,
Spencer Gulf,SA,N,-32.55,137.77,-33.58,137.94,-35.27,136.88,-34.78,135.7,,
Eyre Peninsula,SA,N,-32.77,134.14,-32.57,137.75,-34.93,135.64,,,,
Yorke Peninsula,SA,N,-33.55,137.94,-34.12,138.08,-35.18,137.64,-35.24,136.84,,
Fleurieu Peninsula,SA,N,-35.25,138.46,-35.53,138.7,-35.67,138.18,-35.59,138.1,,
Musgrave Ranges,SA,N,-26.06,132.24,-26.51,132.19,-26.3,128.6,-25.82,128.75,,
Flinders Ranges,SA,N,-29.9,139.39,-30.07,139.74,-33.25,138.63,-32.61,137.82,-30.49,138.36
Great Lake ,TAS,N,-41.77,146.7,-41.83,146.83,-42,146.75,-41.98,146.68,,
Lake Pedder,TAS,N,-42.76,146.06,-42.95,146.38,-43.05,146.25,-42.78,145.95,,
Lake Gordon,TAS,N,-42.59,146.02,-42.61,146.25,-42.81,146.34,-42.74,145.97,,
Lake Eildon,VIC,N,-37,145.9,-37.22,146.19,-37.33,146.05,-37.07,145.76,,
Lake Macleod,WA-S,N,-24.61,113.53,-23.99,113.54,-23.46,113.93,-24.08,113.96,,
Kennedy Ranges,WA-S,N,-24.13,114.8,-24.24,115.17,-24.93,115.17,-24.93,114.98,,
Stirling Ranges,WA-S,N,-34.31,117.68,-34.31,118.37,-34.45,118.37,-34.44,117.7,,
Aeropelican (Newcastle),NSW-E,Y,-33.06623,151.64805,,,,,,,,
Armidale,NSW-E,Y,-30.52818,151.61709,,,,,,,,
Badgerys Creek,NSW-E,Y,-33.8969,150.7281,,,,,,,,
Ballina/Byron Gateway,NSW-E,Y,-28.83378,153.56244,,,,,,,,
Bankstown,NSW-E,Y,-33.9225,150.98111,,,,,,,,
Bathurst,NSW-E,Y,-33.40944,149.65194,,,,,,,,
Camden,NSW-E,Y,-34.0425,150.6875,,,,,,,,
Canberra Airport,NSW-E,Y,-35.28389,149.16389,,,,,,,,
Casino,NSW-E,Y,-28.88281,153.06694,,,,,,,,
Cessnock,NSW-E,Y,-32.7875,151.34167,,,,,,,,
Coffs Harbour,NSW-E,Y,-30.31694,153.11667,,,,,,,,
Cooma,NSW-E,Y,-36.29306,148.97222,,,,,,,,
Coonabarabran,NSW-E,Y,-31.33259,149.26713,,,,,,,,
Cootamundra,NSW-E,Y,-34.62432,148.03577,,,,,,,,
Cowra,NSW-E,Y,-33.84483,148.64901,,,,,,,,
Evans Head,NSW-E,Y,-29.09329,153.42037,,,,,,,,
Evans Head RAAF Bombing Range AWS,NSW-E,Y,-29.183,153.3964,,,,,,,,
Glen Innes,NSW-E,Y,-29.675,151.68944,,,,,,,,
Goulburn,NSW-E,Y,-34.81022,149.7265,,,,,,,,
Grafton,NSW-E,Y,-29.75944,153.03,,,,,,,,
Gunnedah,NSW-E,Y,-30.96108,150.25063,,,,,,,,
Holsworthy Airport,NSW-E,Y,-34,150.95167,,,,,,,,
Inverell,NSW-E,Y,-29.88831,151.14419,,,,,,,,
Jervis Bay Airfield,NSW-E,Y,-35.144,150.6974,,,,,,,,
