icao,longitude,latitude
ALEGO,125.1333333,-10.64
ATSIN,144.5666667,-25.96166667
BELKI,128.4667861,-11.68680278
BUCN,131.0833333,-18.9
CRAVN,151.7666667,-32.12666667
DLP,153.1833333,-25.91666667
GUGUK,138.876675,-14.94126111
HOKOR,138,-13.62166667
IGDAM,150.9124833,-32.49853611
KTG,135.65,-13.08333333
MADLU,141.4266667,-22.4
MIJ,132.580475,-11.14826389
NAILA,128.1205667,-13.21526389
OSVOL,122.048776,-20.251013
PRES,125.1666667,-20.75
RGS,146.3875,-19.04722222
SCATZ,150.255,-32.655
SUG,152.5402778,-32.44444444
VANVA,149.865,-22.35833333
YAGD,139.8787389,-18.5155
YANL,135.5381667,-17.97563333
YARD,136.6777778,-21.67638889
YARY,141.0471167,-26.69056667
YAUR,141.7208222,-13.35384167
YAYR,147.3246167,-19.59633333
YBAF,153.008025,-27.57034444
YBCG,153.5047972,-28.16443611
YBCS,145.7552694,-16.88596944
YBEO,140.736667,-25.695
YBHM,148.9516389,-20.35816111
YBKT,139.5345083,-17.74850278
YBMK,149.1796167,-21.17151944
YBNY,134.4611111,-18.86916667
YBPN,148.5523472,-20.49500278
YBRL,136.3023389,-16.07526667
YBSU,153.0910361,-26.60341667
YBTL,146.7652944,-19.2526
YBWN,148.2152667,-20.01788889
YCBB,149.2671306,-31.33258611
YCCA,150.61655,-26.76933611
YCFS,153.1163333,-30.32058333
YCIN,123.8281944,-17.58144722
YCMU,145.6221167,-28.03005556
YCNY,138.7066667,-18.75333333
YCRA,147.7094167,-30.45825
YCYR,125.4391667,-16.73333333
YDBI,148.2166667,-28.59166667
YDGN,126.3049778,-15.38598056
YDMG,138.8163694,-17.93693611
YDOR,141.8242694,-16.55403611
YDRI,140.2233056,-25.68466667
YELD,135.57065,-12.01933889
YEML,148.1792,-23.56777778
YFLO,128.4166667,-18.28333333
YGBI,133.3820639,-11.65061389
YGDI,150.3201944,-28.52127778
YGGS,144.3666667,-19.71666667
YGLA,151.2227444,-23.86980556
YGLO,138.824275,-22.88897222
YGTE,136.460825,-13.97334167
YHBA,152.8802972,-25.31881389
YHOO,130.6466667,-18.32833333
YIFL,146.0116194,-17.558583
YINJ,148.55,-25.85
YIVL,151.1441861,-29.88831389
YJLC,141.7224917,-20.66836667
YKIL,129.6141667,-16.43138889
YKLE,131.7469444,-16.25027778
YKMP,152.7696472,-31.07431944
YLAH,138.5847222,-18.57638889
YLEV,135.8057028,-12.49901111
YLHI,159.0771889,-31.53835
YLKN,137.9174583,-20.97995
YLOR,139.8994444,-19.00638889
YLRE,144.2802583,-23.43416944
YMBA,145.4239167,-17.070575
YMGB,134.8935306,-12.09446667
YMGV,143.5033333,-14.78111111
YMHW,142.2832722,-26.51106111
YMIT,147.9367694,-26.48342778
YMND,151.4888333,-32.70412778
YMOR,149.8446528,-29.49881389
YMRT,145.15,-17.7
YMTB,144.5333333,-22.58333333
YMTO,151.1018194,-24.89223333
YMYH,135.7766667,-16.96666667
YNAT,135.4299139,-15.58703889
