icao,longitude,latitude
ALEGO,125.1333333,-10.64
ALTIR,140.5033333,-32.66
ASUBO,137.9833333,-25.39666667
ATSIN,144.5666667,-25.96166667
BELKI,128.4667861,-11.68680278
BIDAP,123.2456444,-24.40126389
BUCN,131.0833333,-18.9
BUNGY,138.33,-37.485
BWL,150.4181,-34.4792
CAPT,149.445278,-35.591111
CML,145.9283056,-41.59486111
CRAVN,151.7666667,-32.12666667
CRAY,139.75,-38.58333333
DLP,153.1833333,-25.91666667
DWB,146.2333333,-42.13333333
ELAPO,140.4516667,-33.16333333
ENTRE,130.9491,-31.53411667
FOWB,132.4333333,-31.98333333
GUGAB,139.8331222,-29.68523056
GUGUK,138.876675,-14.94126111
HOKOR,138,-13.62166667
HRD,144.4,-29
IDNA,135.4333333,-23.33333333
IGDAM,150.9124833,-32.49853611
ISRED,131.5,-33.885
KALK,142.5,-39.5
KDBF,125.0333333,-22.25
KMG,144.9833333,-37.3
KTG,135.65,-13.08333333
LDAP,122.6666667,-23.5
LFRO,139.8666667,-30.63333333
LKEC,146.6333333,-42.16666667
LME,130.95,-29.4
LRP,145.5,-43
MADLU,141.4266667,-22.4
MARR,144.7075,-40.9106
MCHR,133.2166667,-30.55
MEV,125.0666667,-25.18333333
MIJ,132.580475,-11.14826389
MJK,119.1,-30.2
MSTM,117.0666667,-21.61666667
MTWN,146.81,-37.56
MVO,118.2333333,-24.23333333
NAILA,128.1205667,-13.21526389
NODEK,145.895,-32.78333333
NONAX,123.8691167,-23.52139167
OSVOL,122.048776,-20.251013
OVL,114.4666667,-26.4
PDV,145.8833333,-43.33333333
PINAV,129,-28.88166667
PRES,125.1666667,-20.75
PULOL,136.7621611,-24.45448611
RGS,146.3875,-19.04722222
RUNRO,143.9433333,-32.455
SAROK,129.07355,-26.39425
SCATZ,150.255,-32.655
STRA,146.036667,-42.766667
SUG,152.5402778,-32.44444444
TAGO,149.654775,-35.06973333
TMPT,117.7916667,-22.695
TREBL,136.5383333,-26.85833333
TUNGO,141,-41.52
VALDU,147.5521694,-37.14108611
VANVA,149.865,-22.35833333
WEBS,141,-39.5
WHM,117.8333333,-20.83333333
YABA,117.8089028,-34.94344167
YAGD,139.8787389,-18.5155
YAHD,117.0825,-23.40583333
YAMB,152.711,-27.6308
YAMT,131.2026833,-26.0973
YANG,117.6469,-22.9658
YANL,135.5381667,-17.97563333
YARD,136.6777778,-21.67638889
YARG,128.3069,-16.6369
YARM,151.6169,-30.5281
YARY,141.0471167,-26.69056667
YAUG,115.1566667,-34.33
YAUR,141.7208222,-13.35384167
YAYE,131.0369,-25.1864
YAYR,147.3246167,-19.59633333
YBAF,153.2419,-27.4289
YBAS,133.9021583,-23.80678889
YBBN,153.117,-27.3842
YBCG,153.5047972,-28.16443611
YBCV,146.2619,-26.4131
YBCS,145.7552694,-16.88596944
YBDG,144.33,-37.5389
YBDV,139.3489,-25.8989
YBEO,140.736667,-25.695
YBGD,117.2695472,-22.54099444
YBHI,141.4719,-32.0039
YBHM,148.9516389,-20.35816111
YBKE,145.9519,-30.0369
YBKT,139.5345083,-17.74850278
YBLA,146.0090694,-36.55403333
YBLN,115.4019,-33.6889
YBLT,143.7912306,-37.51158611
YBMA,139.499,-20.6686
YBMK,149.1796167,-21.17151944
YBNA,153.5619,-28.8339
YBNS,147.5669,-37.8856
YBNY,134.4611111,-18.86916667
YBOP,116.45,-33.896667
YBPN,148.5523472,-20.49500278
YBPG,152.88,-25.2069
YBRK,139.506,-23.3669
YBRL,136.3023389,-16.07526667
YBRM,122.233,-25.9669
YBRW,146.81675,-29.97400556
YBSU,153.0910361,-26.60341667
YBTH,149.727,-32.5569
YBTI,130.6219,-11.8031
YBTL,146.7652944,-19.2526
YBUD,152.379,-25.4203
YBUN,115.6669,-33.305
YBVA,138.3400556,-34.089875
YBWN,148.2152667,-20.01788889
YBWP,141.925,-12.6786
YBWW,151.793,-27.5581
YBWX,115.4069,-20.8608
YBYU,129.8758,-11.0008
YCAG,125.4776667,-32.28033333
YCAR,113.6719,-24.8669
YCBA,145.8419,-31.5369
YCBB,149.2671306,-31.33258611
YCBO,136.5983333,-35.755
YCBP,134.7219,-29.0369
YCCA,150.61655,-26.76933611
YCCY,140.505,-20.7186
YCDO,147.2091,-33.064375
YCDU,145.785,-36.9856
YCFH,138.8916667,-27.01833333
YCFS,153.1163333,-30.32058333
YCHK,119.1419,-22.8908
YCIN,123.8281944,-17.58144722
YCMU,145.6221167,-28.03005556
YCMT,147.6219,-22.7419
YCNN,123.1583333,-31.03333333
YCNY,138.7066667,-18.75333333
YCOM,149.13,-36.2997
YCOE,143.1169,-13.7608
YCOO,138.8069,-29.0419
YCOR,146.351297,-35.990333
YCRA,147.7094167,-30.45825
YCTM,148.035767,-34.624322
YCUE,117.9186278,-27.44676944
YCWR,148.6490083,-33.844825
YCYR,125.4391667,-16.73333333
YSCO,150.8419,-32.0369
YSCN,150.6869,-34.0406
YSCB,149.195033,-35.306822
YSCR,119.3597944,-31.24029722
YCUN,117.8719,-31.7869
YCWA,119.7219,-23.5369
YDBI,148.2166667,-28.59166667
YDBY,123.6719,-17.3669
YDGN,126.3049778,-15.38598056
YDLQ,144.9464056,-35.55932778
YDMG,138.8163694,-17.93693611
YDOR,141.8242694,-16.55403611
YDPO,146.43,-41.1697
YDRA,114.9166667,-29.3
YDRI,140.2233056,-25.68466667
YECL,128.8833333,-31.71666667
YEEB,115.2464,-29.83308333
YELD,135.57065,-12.01933889
YEML,148.1792,-23.56777778
YERN,132.1817583,-26.26258333
YESP,121.8219,-33.6839
YEWA,118.5419,-22.6769
YFDF,119.6219,-22.8569
YFLI,147.9926722,-40.09128889
YFLO,128.4166667,-18.28333333
YFRT,128.1150889,-30.83806111
YFTZ,125.7019,-18.1869
YGBI,133.3820639,-11.65061389
YGDI,150.3201944,-28.52127778
YGGS,144.3666667,-19.71666667
YGEL,114.7019,-28.7969
YGFN,152.9819,-29.6869
YGLI,151.6869,-29.6869
YGLS,128.3019,-25.0419
YGLA,151.2227444,-23.86980556
