NAME,GAF_AREA,TYPE,LAT,LONG
Lake Macquarie Airport,NSW-E,Non-TAF,-33.06623,151.64805
Armidale,NSW-E,TAF,-30.52818,151.61709
Badgerys Creek,NSW-E,Non-TAF,-33.8969,150.7281
Ballina/Byron Gateway,NSW-E,TAF,-28.83378,153.56244
Bankstown,NSW-E,TAF,-33.9225,150.98111
Bathurst,NSW-E,TAF,-33.40944,149.65194
Camden,NSW-E,TAF,-34.0425,150.6875
Canberra,NSW-E,TAF,-35.28389,149.16389
Casino,NSW-E,Non-TAF,-28.88281,153.06694
Cessnock,NSW-E,Non-TAF,-32.7875,151.34167
Coffs Harbour,NSW-E,TAF,-30.31694,153.11667
Cooma,NSW-E,TAF,-36.29306,148.97222
Coonabarabran,NSW-E,TAF,-31.33259,149.26713
Cootamundra,NSW-E,Non-TAF,-34.62432,148.03577
Cowra,NSW-E,Non-TAF,-33.84483,148.64901
Evans Head,NSW-E,Non-TAF,-29.09329,153.42037
Evans Head RAAF Bombing Range AWS,NSW-E,Non-TAF,-29.183,153.3964
Glen Innes,NSW-E,TAF,-29.675,151.68944
Goulburn,NSW-E,TAF,-34.81022,149.7265
Grafton,NSW-E,TAF,-29.75944,153.03
Gunnedah,NSW-E,Non-TAF,-30.96108,150.25063
Holsworthy,NSW-E,TAF,-34,150.95167
Inverell,NSW-E,Non-TAF,-29.88831,151.14419
Jervis Bay Airfield,NSW-E,Non-TAF,-35.144,150.6974
Kempsey,NSW-E,Non-TAF,-31.07432,152.76965
Khancoban,NSW-E,Non-TAF,-36.2304,148.1405
Lismore,NSW-E,TAF,-28.83034,153.25998
Lord Howe Island,NSW-E,TAF,-31.53835,159.07719
Maitland,NSW-E,TAF,-32.70333,151.48833
Merimbula,NSW-E,TAF,-36.90871,149.90132
Moree,NSW-E,TAF,-29.49881,149.84465
Moruya,NSW-E,TAF,-35.89784,150.14441
Moss Vale,NSW-E,Non-TAF,-34.5484,150.3679
Mount Boyce,NSW-E,Non-TAF,-33.6151,150.2679
Mudgee,NSW-E,TAF,-32.56249,149.61109
Murrurundi,NSW-E,Non-TAF,-31.76667,150.83333
Narrabri,NSW-E,TAF,-30.31918,149.82734
Nowra,NSW-E,TAF,-34.93333,150.56111
Norfolk Island,NSW-E,TAF,-29.0425,167.938056
Orange,NSW-E,TAF,-33.38177,149.13298
Parkes,NSW-E,TAF,-33.13127,148.23905
Port Macquaire,NSW-E,TAF,-31.43594,152.86335
Richmond (NSW),NSW-E,TAF,-33.60069,150.78072
Scone,NSW-E,TAF,-32.03725,150.83213
Shellharbour,NSW-E,TAF,-34.56116,150.78859
Sydney,NSW-E,TAF,-33.95694,151.16667
Tamworth,NSW-E,TAF,-31.08889,150.85
Taree,NSW-E,TAF,-31.88856,152.51384
Wagga Wagga,NSW-E,TAF,-35.16389,147.4625
Williamtown (NSW),NSW-E,TAF,-32.79493,151.83447
Young,NSW-E,TAF,-34.25567,148.24813
Forster - Tuncurry,NSW-E,Non-TAF,-32.15143805,152.4827055
Singleton,NSW-E,Non-TAF,-32.566667,151.169722
Ulladulla,NSW-E,Non-TAF,-35.35,150.4833333
