NAME,LAT,LONG,AREA
Aeropelican (Newcastle),-33.06623,151.64805,NSW-E
Armidale,-30.52818,151.61709,NSW-E
Badgerys Creek,-33.8969,150.7281,NSW-E
Ballina/Byron Gateway,-28.83378,153.56244,NSW-E
Bankstown,-33.9225,150.98111,NSW-E
Bathurst,-33.40944,149.65194,NSW-E
Camden,-34.0425,150.6875,NSW-E
Canberra Airport,-35.28389,149.16389,NSW-E
Casino,-28.88281,153.06694,NSW-E
Cessnock,-32.7875,151.34167,NSW-E
Coffs Harbour,-30.31694,153.11667,NSW-E
Cooma,-36.29306,148.97222,NSW-E
Coonabarabran,-31.33259,149.26713,NSW-E
Cootamundra,-34.62432,148.03577,NSW-E
Cowra,-33.84483,148.64901,NSW-E
Evans Head,-29.09329,153.42037,NSW-E
Evans Head RAAF Bombing Range AWS,-29.183,153.3964,NSW-E
Glen Innes,-29.675,151.68944,NSW-E
Goulburn,-34.81022,149.7265,NSW-E
Grafton,-29.75944,153.03,NSW-E
Gunnedah,-30.96108,150.25063,NSW-E
Holsworthy Airport,-34,150.95167,NSW-E
Inverell,-29.88831,151.14419,NSW-E
Jervis Bay Airfield,-35.144,150.6974,NSW-E
Kempsey,-31.07432,152.76965,NSW-E
Khancoban,-36.2304,148.1405,NSW-E
Lismore,-28.83034,153.25998,NSW-E
Lord Howe Island,-31.53835,159.07719,NSW-E
Maitland,-32.70333,151.48833,NSW-E
Merimbula,-36.90871,149.90132,NSW-E
Moree,-29.49881,149.84465,NSW-E
Moruya,-35.89784,150.14441,NSW-E
Moss Vale,-34.5484,150.3679,NSW-E
Mount Boyce,-33.6151,150.2679,NSW-E
Mudgee,-32.56249,149.61109,NSW-E
Murrurundi,-31.76667,150.83333,NSW-E
Narrabri,-30.31918,149.82734,NSW-E
Nowra,-34.93333,150.56111,NSW-E
Orange,-33.38177,149.13298,NSW-E
Parkes,-33.13127,148.23905,NSW-E
Port Macquaire,-31.43594,152.86335,NSW-E
Richmond NSW,-33.60069,150.78072,NSW-E
Scone,-32.03725,150.83213,NSW-E
Shellharbour Airport,-34.56116,150.78859,NSW-E
Sydney Airport,-33.95694,151.16667,NSW-E
Tamworth,-31.08889,150.85,NSW-E
Taree,-31.88856,152.51384,NSW-E
Wagga Wagga,-35.16389,147.4625,NSW-E
Williamtown (NSW),-32.79493,151.83447,NSW-E
Young,-34.25567,148.24813,NSW-E
Albury,-36.06944,146.95333,NSW-W
Bourke,-30.03904,145.95163,NSW-W
Brewarrina,-29.97401,146.81675,NSW-W
Broken Hill,-32.00146,141.47163,NSW-W
Cobar,-31.53833,145.79389,NSW-W
Condobolin,-33.06438,147.2091,NSW-W
Coonamble,-30.98339,148.37564,NSW-W
Corowa,-35.99033,146.3513,NSW-W
Deniliquin,-35.55933,144.94641,NSW-W
Dubbo,-32.21944,148.56528,NSW-W
Eliwana,-22.4281,116.8867,WA-N
Forbes,-33.36362,147.93486,NSW-W
Griffith,-34.25097,146.06727,NSW-W
Hay,-34.53142,144.82967,NSW-W
Ivanhoe,-32.88333,144.31,NSW-W
Narrandera,-34.70217,146.51226,NSW-W
Nyngan,-31.55115,147.20281,NSW-W
Temora,-34.42131,147.51169,NSW-W
Tibooburra,-29.45097,142.05779,NSW-W
Walgett,-30.03267,148.12578,NSW-W
West Wylong,-33.93723,147.19152,NSW-W
White Cliffs,-30.8517,143.0742,NSW-W
Wilcannia,-31.52627,143.3748,NSW-W
Alice Springs,-23.80694,133.89944,NT
Ayers Rock (Yulara),-25.18614,130.97556,NT
Batchelor,-13.0545,131.0252,NT
Bathurst Island (Nguiu),-11.76909,130.61974,NT
Borroloola,-16.07527,136.30234,NT
Browse Island,-14.1,123.5,NT
Darwin Airport,-12.41833,130.8675,NT
Delamere Weapons Range,-15.7442,131.9182,NT
Elcho Island (Ngayawili),-12.01934,135.57065,NT
Gove,-12.26931,136.81832,NT
Groote Eylandt,-13.975,136.46,NT
Hooker Creek (Lajamanu),-18.33586,130.64344,NT
Jabiru,-12.65842,132.89309,NT
Jervois,-22.9495,136.1444,NT
Kintore (Wulungurru),-23.265,129.385,NT
Maningrida,-12.05605,134.23408,NT
McArthur River Mine,-16.44253,136.08373,NT
Milingimbi,-12.09447,134.89353,NT
Modec Venture Drilling Rig,-10.88333,126.58333,NT
Ngukurr,-14.72283,134.7476,NT
Northern Endeavour Drilling Rig,-10.6225,126.03333,NT
Pickertarmoor,-11.76667,130.86667,NT
Port Keats,-14.24987,129.52922,NT
Smith Point,-11.15,132.15,NT
Snake Bay,-11.42288,130.65352,NT
South Goulburn Island (Warruwi),-11.65061,133.38206,NT
Tanami Mine,-19.96667,129.72556,NT
Tennant Creek,-19.64861,134.18139,NT
The Granites,-20.54833,130.34667,NT
Tindal,-14.52099,132.37786,NT
Troughton Island,-13.75167,126.14833,NT
Victoria River Downs,-16.40362,131.0025,NT
Wave Hill,-17.39364,131.1191,NT
Yuendumu,-22.25412,131.78217,NT
Boulia,-22.91333,139.89972,QLD-N
Burketown,-17.7485,139.53451,QLD-N
Cairns,-16.87583,145.75278,QLD-N
Cape Flattery,-14.9672,145.3106,QLD-N
Century Mine,-18.75333,138.70667,QLD-N
Charters Towers,-20.04314,146.27298,QLD-N
Clermont,-22.77294,147.62063,QLD-N
Cloncurry,-20.67306,140.50278,QLD-N
Coen,-13.76208,143.11643,QLD-N
Cooktown,-15.44466,145.18431,QLD-N
Dysart Airport,-22.6222,148.364,QLD-N
Georgetown,-18.30504,143.52991,QLD-N
Hamilton Island,-20.35816,148.95164,QLD-N
Horn Island,-10.58644,142.29003,QLD-N
Hughenden,-20.81493,144.2252,QLD-N
Innisfail,-17.55858,146.01162,QLD-N
Julia Creek,-20.66837,141.72249,QLD-N
Kowanyama,-15.48559,141.75142,QLD-N
Lizard Island,-14.67333,145.455,QLD-N
