"HighlightRow","Edit","View Audit LOG","State (XXX)","Issue  Office  (YXXX-MWO)","Location (name)","ICAO Identifier (YXXX)","Metar  (Y or N)","TAF  (Y or N)","TTF  (Y or N)","Ceilometer  (Y or N)","Vismeter  (Y or N)","AWIS  (Y or N)","AWIS Number (area code)No.","AWIS Frequency (Mhz)","BOM  Station(xxxxxx)","Secondary  &nbsp &nbsp &nbsp &nbsp Issue Office(YXXX-MWO)","ARFOR  Area(xx)","Alternate  Aero Minima  Cloud Base(Feet)","Alternate  Aero Minima  Visibility(Meters)","Slam Minima  Cloud Base(Feet)","Slam Minima  Visibility(Meters)","A Aero Minima  Cloud Base(Feet)","A Aero Minima  Visibility(Meters)","B Aero Minima  Cloud Base(Feet)","B Aero Minima  Visibility(Meters)","C Aero Minima  Cloud Base(Feet)","C Aero Minima  Visibility(Meters)","D Aero Minima  Cloud Base(Feet)","D Aero Minima  Visibility(Meters)","Main  Runway  Orientation(Degrees Magnetic)","Secondary  Runway  Orientation(Degrees Magnetic)","Tertiary  Runway  Orientation(Degrees Magnetic)","Variation  Amount  (Degrees)","Variation  Direction  (E or W)","Aero  Height  (Feet)","AWS  (Y or N)","VIS AWR  (Y or N)","VIS SYNOP  (Y or N)","Closest Vis Obs  (Y or N)","One  Minute Data  (Y or N)","Half  Hourly   (Y or N)","Hourly  Data  (Y or N)","Present  Weather Sensor Funded  (Y or N)","Lightning  Sensor  (Y or N)","Annual  Movements","Annual  Pax","GreaterThan 30000  Pax  (Y or N)","Runway  Approach  (Y or N)","Circling  Approach  (Y or N)","International  Secondary  (Y or N)","Control  Tower  (Y or N)","International  Major  (Y or N)","Etops  Alternate  (Y or N)","TAF  Classification  (A,B,C,D,E,F,G)","TAF  Cat  (1,2,3)","AIFS TAF Aifs Id (IDXXXXXX)","TAF  issues  TAF_ISS0  (HH/HH)","TAF_ISS1  Days  (A=All)","TAF  issues  TAF_ISS2  (HH/HH)","TAF_ISS3  Days  (A=All)","TAF  issues  TAF_ISS4  (HH/HH)","TAF_ISS5  Days  (A=All)","TAF  issues  TAF_ISS6  (HH/HH)","TAF_ISS7  Days  (A=All)","Validity  (Hrs)","Update  Frequency","No of  issues","TTF_ISS1  (HH/HH)","TTF_ISS2  Days","TTF ISSue  Times  TTF_ISS3  (HH/HH)","TTF_ISS4  Days","Airport  Warning  (Y or N)","Wind  Shear  Alert  (Y or N)","Temperature  Inversion   (Y or N)","ASTAS   (Y or N)","Thunderstorm  Alert   (Y or N)","Airport  Weather  Briefing   (Issue Time Z)","Code  Grey   (Y or N)","Verbal  Briefing   (Y or N)","Aero  Latitude  (Decimal  Degrees).","Aero  Longitude  (Decimal  Degrees).","Aviation  Funded (Y or N)","Aviation  Location  Type"
"___","YSHW","LOG","NSW","UNKNOWN","Holsworthy Airport","YSHW","N","N","N","N","N","N","","","66161","","20","","","","","-1","-1","","","","","","","111","","","13","E","250","N","N","N","","N","N","N","N","N","","","N","N","N","N","N","N","N","B","","","","","","","","","","","","","","","","","","N","N","N","N","","N","N","N","-34","150.95167","N","AD"
"___","YPEC","LOG","NSW","UNKNOWN","Aeropelican (Newcastle)","YPEC","N","N","N","N","N","N","N","N","","","20","1315","4400","","","1315","4400","1315","4400","","","","","","","","","","","N","N","N","Williamtown","N","N","N","N","N","4673","43865","Y","N","Y","N","N","N","N","","3","IDN50400","","","","","","","","","","","","","","","","N","N","N","N","N","N","N","Y","-33.06623","151.64805","N","AD"
"___","YARM","LOG","NSW","YSSY-MWO","Armidale","YARM","Y","Y","N","Y","Y","Y","OLD (02) 6771 2367","134.75","56238","","20","1384","6000","","","1244","4400","1244","4400","1344","6000","","","47","85","","12","E","3556","Y","N","N","UNE 5.2","N","N","Y","N","N","3766","63678","Y","Y","Y","N","N","N","N","C","2","IDN51100","1812","A","0012","A","","","","","12 (18)","6","4","","","","","N","N","N","N","N","N","N","Y","-30.52818","151.61709","Y","AD"
"___","YBNA","LOG","NSW","YSSY-MWO","Ballina/Byron Gateway","YBNA","Y","Y","N","Y","Y","Y","OLD (02) 6686 0799","N","58198","","20","1523","6000","","","1273","4400","1273","4400","1503","6000","1633","7000","62","","","12","E","7","Y","Y","N","Alstonville 10.2","N","N","Y","N","N","4464","84934","Y","Y","Y","N","N","N","N","B","2","IDN57500","1812","A","0012","A","0618","A","1224","A","12 (18)","6","4","","","","","N","N","N","N","N","N","N","Y","-28.83378","153.56244","Y","AD"
"___","YSBK","LOG","NSW","SAMU","Bankstown","YSBK","Y","Y","N","Y","Y","Y","OLD (02) 9791 3152","N","66137","","20","1406","6000","","","1381","4400","1381","4400","1411","6000","","","111","111","111","13","E","29","Y","Y","N","","Y","Y","Y","N","N","","","N","Y","Y","N","Y","N","N","B","2","IDN54100","1812","A","0012","A","0618","A","1224","A","12 (18)","6","4","","","","","Y","N","N","N","N","N","N","Y","-33.9225","150.98111","Y","AD"
"___","YCAS","LOG","NSW","UNKNOWN","Casino","YCAS","Y","N","N","N","N","Y","OLD (02) 6662 6479","N","58208","","20","1404","6000","","","1204","4400","1204","4400","1404","6000","","","94","","","11","E","86","Y","N","N","","N","N","Y","N","N","","","N","N","Y","N","N","N","N","E","","IDN57300","","","","","","","","","","","","","","","","N","N","N","N","N","N","N","Y","-28.88281","153.06694","Y","ALA"
"___","YCNK","LOG","NSW","YSSY-MWO","Cessnock","YCNK","Y","Y","N","N","N","Y","OLD (02) 4990 7628","N","61260","","20","1460","4400","","","","","","","","","","","176","","","12","E","211","Y","N","N","Cessnock 2.5","N","Y","Y","N","N","","","N","N","N","N","N","N","N","D","3","IDN56100","2008","A","0214","A","","","","","12","","2","","","","","N","N","N","N","N","N","N","Y","-32.7875","151.34167","Y","ALA"
"___","YCFS","LOG","NSW","YSSY-MWO","Coffs Harbour","YCFS","Y","Y","N","Y","Y","Y","OLD (02) 6650 9260","N","59151","","20","1372","7000","","","1482","4400","1482","4400","1482","6000","1482","7000","29","95","","12","E","18","Y","Y","Y","","Y","Y","Y","Y","N","5784","238906","Y","Y","Y","Y","Y","N","N","A","2","IDN50700","1812","A","0018","A","0624","A","1206","A","18","6","4","","","","","Y","N","N","N","N","N","N","Y","-30.31694","153.11667","N","AD"
"___","YCBB","LOG","NSW","YSSY-MWO","Coonabarabran","YCBB","Y","Y","N","N","N","Y","OLD (02) 6842 4992","N","64017","","20","1513","6000","","","1283","4400","1283","4400","1513","6000","","","19","112","","11","E","2117","Y","N","N","Coonabarabran 6.4","N","N","Y","N","N","","","N","Y","Y","N","N","N","N","D","3","IDN51800","2008","A","0214","A","","","","","12","","2","","","","","N","N","N","N","N","N","N","Y","-31.33259","149.26713","Y","AD"
"___","YEVD","LOG","NSW","UNKNOWN","Evans Head","YEVD","N","N","N","N","N","N","N","N","58212","","20","1500","8000","","","","","","","","","","","","","","12","E","20","N","N","N","Evans Head AWS (bombing range)","N","N","N","N","N","","","N","N","N","N","N","N","N","","3","IDN57600","","","","","","","","","","","","","","","","N","N","N","N","N","N","N","Y","-29.09329","153.42037","N","ALA"
"___","YGLI","LOG","NSW","YSSY-MWO","Glen Innes","YGLI","Y","Y","N","N","N","Y","OLD (02) 6732 5748","N","56243","","20","1599","6000","","","1327","4400","1327","4400","1602","6000","","","95","143","","11","E","3433","Y","N","N","GI  7.7","N","N","Y","N","N","","","N","Y","Y","N","N","N","N","D","3","IDN57700","1008","A","0210","A","","","","","12","","3","","","","","N","N","N","N","N","N","N","Y","-29.675","151.68944","N","AD"
"___","YGFN","LOG","NSW","YSSY-MWO","Grafton","YGFN","Y","Y","N","N","N","Y","OLD (02) 6643 3082","N","58161","","20","1330","6000","","","1170","4400","1170","4400","1330","6000","","","174","","","12","E","110","Y","N","N","Grafton","N","Y","Y","N","N","1665","14659","N","Y","Y","N","N","N","N","D","3","IDN57200","2008","A","0214","A","","","","","12","","2","","","","","N","N","N","N","N","N","N","Y","-29.75944","153.03","N","AD"
"___","YGDH","LOG","NSW","YSSY-MWO","Gunnedah","YGDH","Y","Y","N","N","N","Y","OLD (02) 6742 5323","N","55202","","20","1436","6000","","","1407","4400","1407","4400","1437","6000","","","111","","","11","E","863","Y","N","N","Gunnedah 3.4","N","N","Y","N","N","","","N","Y","Y","N","N","N","N","D","3","IDN51300","2008","A","0210","A","","","","","12","","2","","","","","N","N","N","N","N","N","N","Y","-30.96108","150.25063","N","AD"
"___","YIVL","LOG","NSW","YSSY-MWO","Inverell","YIVL","N","N","N","N","N","N","N","N","","","20","1553","6000","","","1183","4400","1183","4400","1553","6000","","","39","159","","11","E","2667","N","N","N","Inverell 3","N","N","Y","N","N","","","N","Y","Y","N","N","N","N","D","3","IDN57800","2008","A","0210","A","","","","","12","","3","","","","","N","N","N","N","N","N","N","Y","-29.88831","151.14419","N","AD"
"___","YKMP","LOG","NSW","YSSY-MWO","Kempsey","YKMP","Y","Y","N","N","N","Y","OLD (02) 6563 1530","N","59007","","20","1866","6000","","","1386","4400","1386","4400","1866","6000","","","42","","","12","E","54","Y","N","N","Kempsey 4.9","N","N","Y","N","N","","","N","Y","Y","N","N","N","N","D","3","IDN50900","2008","A","0210","A","","","","","12","","3","","","","","N","N","N","N","N","N","N","Y","-31.07432","152.76965","Y","AD"
"___","YLIS","LOG","NSW","YSSY-MWO","Lismore","YLIS","Y","Y","N","N","N","Y","OLD (02) 6622 7516","128.05","58214","","20","1775","6000","","","1505","4400","1505","4400","1775","6000","","","146","","","11","E","35","Y","N","N","Lismore 2.5","N","N","Y","N","N","3907","56049","Y","Y","Y","N","N","N","N","C","3","IDN57400","1812","A","0012","A","0618","A","1224","A","12 (18)","6","4","","","","","N","N","N","N","N","N","N","Y","-28.83034","153.25998","N","AD"
"___","YMND","LOG","NSW","YSSY-MWO","Maitland","YMND","N","Y","N","N","N","N","N","N","61428","","20","1335","4400","","","1335","4400","1335","4400","","","","","44","81","181","12","E","85","N","N","N","Maitland","N","N","N","N","N","","","N","N","Y","N","N","N","N","D","3","IDN50300","2008","A","0214","A","","","","","12","","2","","","","","N","N","N","N","N","N","N","Y","-32.70333","151.48833","N","ALA"
"___","YMOR","LOG","NSW","YSSY-MWO","Moree","YMOR","Y","Y","N","Y","Y","Y","OLD (02) 6751 1168","129.2","53115","","20","1249","6000","","","1149","4400","1149","4400","1239","6000","","","7","48","","11","E","701","Y","Y","Y","","Y","Y","Y","N","N","1382","20413","N","Y","Y","N","N","N","N","C","3","IDN51400","2008","A","0214","A","","","","","12","","2","","","","","Y","N","N","N","N","N","N","Y","-29.49881","149.84465","N","AD"
"___","YMDG","LOG","NSW","YSSY-MWO","Mudgee","YMDG","Y","Y","N","N","N","Y","OLD (02) 6372 3349","N","62101","","20","2475","6000","","","1985","4400","1985","4400","2475","6000","","","41","159","","12","E","1545","Y","N","N","Gulgong 23.5","N","N","Y","N","N","","","N","Y","Y","N","N","N","N","D","3","IDN52300","2008","A","0214","A","","","","","12","","2","","","","","N","N","N","N","N","N","N","Y","-32.56249","149.61109","N","AD"
"___","MUI","LOG","NSW","MAFC","Murrurundi","MUI","Y","N","N","Y","Y","Y","OLD (02) 6546 6700","N","61392","NSW-E","20","","","","","-1","-1","","","","","","","","","","","","","Y","N","N","","N","N","Y","N","N","","","N","N","N","N","N","N","N","E","","","","","","","","","","","","","","","","","","N","N","N","N","N","N","N","Y","-31.76667","150.83333","Y","CL"
"___","YNBR","LOG","NSW","YSSY-MWO","Narrabri","YNBR","Y","Y","N","N","N","Y","OLD (02) 6792 4774","N","54038","","20","1398","6000","","","1362","4400","1362","4400","1392","6000","","","85","182","","11","E","788","Y","N","N","Barraba 75","N","N","Y","N","N","1381","11120","N","Y","Y","N","N","N","N","C","3","IDN56400","2008","A","0214","A","","","","","12","","2","","","","","N","N","N","N","N","N","N","Y","-30.31918","149.82734","Y","AD"
"___","YPMQ","LOG","NSW","YSSY-MWO","Port Macquaire","YPMQ","Y","Y","N","N","N","Y","OLD (02) 6584 3388","128.45","60168","","20","1515","6000","","","1278","4400","1278","4400","1518","6000","","","17","","","12","E","12","Y","N","N","P Mc 5.1","N","N","Y","N","N","3267","79325","Y","Y","Y","N","N","N","N","B","2","IDN50500","1812","A","0012","A","0618","A","1224","A","12 (18)","6","4","","","","","N","N","N","N","N","N","N","Y","-31.43594","152.86335","Y","AD"
"___","YSRI","LOG","NSW","YWLM-DWSO","Richmond NSW","YSRI","Y","Y","N","Y","Y","Y","OLD (02) 4587 2589","316.3","67105","YSSY-MWO","20","1593","7000","","","1223","4400","1223","4400","1523","6000","1523","7000","95","","","12","E","67","Y","N","N","Prospect Dam 27.5","Y","Y","Y","Y","Y","","","N","Y","Y","Y","Y","N","N","A","2","IDN50100","1812","A","0018","A","0624","A","1206","A","18","6","4","","","","","Y","N","Y","N","N","N","N","Y","-33.60069","150.78072","N","AD"
"___","YSCO","LOG","NSW","YSSY-MWO","Scone","YSCO","Y","Y","N","N","N","Y","OLD (02) 6545 3948","N","61363","","20","2285","6000","","","1795","4400","1795","4400","2285","6000","","","110","","","12","E","745","Y","N","N","Scone","N","N","Y","N","N","","","N","Y","Y","N","N","N","N","D","3","IDN50800","","A","","","","","","","12","","2","","","","","N","N","N","N","N","N","N","Y","-32.03725","150.83213","N","ALA"
"___","YSSY","LOG","NSW","SAMU","Sydney Aero","YSSY","Y","Y","Y","Y","Y","N","ATIS","N","66037","","20","1479","7000","700","2500","1189","4400","1189","4400","1479","6000","1479","7000","155","62","155","13","E","21","Y","Y","Y","","Y","Y","Y","Y","Y","238030","26072647","Y","Y","Y","N","Y","Y","N","A","1","IDN50000","1800","A","0006","A","0612","A","1218","A","30","6","4","0024","A","","","Y","Y","N","Y","Backup","00, 06, 12, 18","14 and 24Z","Y","-33.95694","151.16667","Y","AD"
"___","YSTW","LOG","NSW","YSSY-MWO","Tamworth","YSTW","Y","Y","N","Y","Y","Y","OLD (02) 6760 7801","N","55325","","20","1565","7000","","","1266","4400","1266","4400","1565","6000","1565","7000","62","121","177","11","E","1334","Y","N","N","Woolbrook","N","N","Y","N","N","4717","75274","Y","Y","Y","N","Y","N","N","B","2","IDN51200","1812","A","0018","A","0624","A","1206","A","18","6","4","","","","","Y","N","N","N","N","N","N","Y","-31.08889","150.85","N","AD"
"___","YTRE","LOG","NSW","YSSY-MWO","Taree","YTRE","Y","Y","N","N","N","Y","OLD (02) 6553 8254","N","60141","","20","1352","6000","","","1252","4400","1252","4400","1352","6000","","","33","125","","12","E","38","Y","N","N","Taree 2.9","N","N","Y","N","N","1946","15673","N","Y","Y","N","N","N","N","D","2","IDN50600","2008","A","0214","A","0820","A","","","12","","3","","","","","N","N","N","N","N","N","N","Y","-31.88856","152.51384","N","AD"
"___","YWLM","LOG","NSW","YWLM-DWSO","Williamtown","YWLM","Y","Y","Y","Y","Y","Y","OLD (02) 4034 6920","316.1","61078","YSSY-MWO","20","1539","7000","","","1179","4400","1179","4400","1279","6000","1539","7000","118","","","12","E","31","Y","Y","Y","","Y","Y","Y","N","pR","10815","301930","Y","Y","Y","Y","Y","N","N","A","2","IDN50200","1812","A","0018","A","0624","A","1206","A","18","6","4","2110","M,TU,W,T","2106","F","Y","Y","Y","N","N","N","N","Y","-32.79493","151.83447","N","AD"
"___","EVHD","LOG","NSW","UNKNOWN","Evans Head RAAF Bombing Range AWS","EVHD","Y","Y","N","N","N","N","","","58212","","20","","","","","-1","-1","","","","","","","","","","","","63","N","N","N","","N","N","N","N","N","","","N","N","N","N","N","N","N","","","IDQ57900","","","","","","","","","","","","","","","","N","N","N","N","","N","N","N","-29.183","153.3964","N",""
