id,wmo,icao,iata,name,custom-name,elevation,pressure-sensor-height,latitude,longitude,priority,country-code,time-zone,state-region,runway-direction-1,runway-direction-2,minimum-sector-altitude,group,flags,icao-region,polygon,polyline,population,custom-id,GML-id,organisation,hide-coordinates,type,source,state,area-number
au.bom:#.IPA.NDB,,IPA,,ISLA DE PASCUA,,,,-27.15667,-109.425,,,,,,,,,----------N-,#,,,,,,,,NDB,----a---,,
au.bom:#.IPA.VORDME,,IPA,,ISLA DE PASCUA,,,,-27.16333,-109.40667,,,,,,,,,----------N-,#,,,,,,,,VORDME,----a---,,
au.bom:#.ND.NDB,,ND,,TANJUNG PANDAN,,,,-2.755,107.75167,,,,,,,,,----------N-,#,,,,,,,,NDB,----a---,,
au.bom:#.RN.NDB,,RN,,RANAI,,,,3.905,108.39167,,,,,,,,,----------N-,#,,,,,,,,NDB,----a---,,
au.bom:#.TKK.DME,,TKK,,TRUK (WENO ISL),,,,7.455,151.83667,,,,,,,,,----------N-,#,,,,,,,,DME,----a---,,
au.bom:#.TKK.NDB,,TKK,,TRUK (WENO ISL),,,,7.45667,151.84,,,,,,,,,----------N-,#,,,,,,,,NDB,----a---,,
au.bom:#.YP.NDBDME,,YP,,YAP ISLAND,,,,9.485,138.08,,,,,,,,,----------N-,#,,,,,,,,NDBDME,----a---,,
au.bom:#.ZW.NDB,,ZW,,WAMENA,,,,-4.1,138.95667,,,,,,,,,----------N-,#,,,,,,,,NDB,----a---,,
au.bom:.ICS.DME,,ICS,,CAIRNS,,,,-16.86908,145.74343,,,,,,,,,----------N-,,,,,,,,,DME,----a---,QLD,
au.bom:.IEN.DME,,IEN,,ESSENDON,,,,-37.72973,144.9106,,,,,,,,,----------N-,,,,,,,,,DME,----a---,VIC,
au.bom:.IGD.DME,,IGD,,PERTH,,,,-31.9314,115.9694,,,,,,,,,----------N-,,,,,,,,,DME,----a---,WA,
au.bom:.IPH.DME,,IPH,,PERTH,,,,-31.93364,115.97691,,,,,,,,,----------N-,,,,,,,,,DME,----a---,WA,
au.bom:.ITL.DME,,ITL,,TOWNSVILLE,,,,-19.25517,146.76454,,,,,,,,,----------N-,,,,,,,,,DME,----a---,QLD,
au.bom:.IWM.DME,,IWM,,WILLIAMTOWN,,,,-32.79135,151.8265,,,,,,,,,----------N-,,,,,,,,,DME,----a---,NSW,
