id,wmo,icao,iata,name,custom-name,elevation,pressure-sensor-height,latitude,longitude,priority,country-code,time-zone,state-region,runway-direction-1,runway-direction-2,minimum-sector-altitude,group,flags,icao-region,polygon,polyline,population,custom-id,GML-id,organisation,hide-coordinates,type,source,state,area-number
au.bom:YB.ABVUV.WPT,,ABVUV,,ABVUV,,,,-12.51666667,129.433333,,,,,,,,,---------W--,YB,,,,,,,,WPT,---p----,NT,80
au.bom:YB.ALEGO.WPT,,ALEGO,,ALEGO,,,,-10.64,125.1333333,,,,,,,,,---------W--,YB,,,,,,,,WPT,---p----,OTH,86
au.bom:YB.ANJJO.WPT,,ANJJO,,ANJJO,,,,-12.936469,125.625736,,,,,,,,,---------W--,YB,,,,,,,,WPT,---p----,WA,86
au.bom:YB.ARUTA.WPT,,ARUTA,,ARUTA,,,,-25.54166667,147.1633333,,,,,,,,,---------W--,YB,,,,,,,,WPT,---p----,QLD,41
au.bom:YB.ATSIN.WPT,,ATSIN,,ATSIN,,,,-25.96166667,144.5666667,,,,,,,,,---------W--,YB,,,,,,,,WPT,---p----,QLD,41
au.bom:YB.AVMAN.WPT,,AVMAN,,AVMAN,,,,-10.599444,129.155556,,,,,,,,,---------W--,YB,,,,,,,,WPT,---p----,NT,80
au.bom:YB.AWP.LDM,,AWP,,ARROWSMITH PT,,,,-13.25,136.45,,,,,,,,,------------,YB,,,,,,,,LDM,---pa---,NT,80
au.bom:YB.BELKI.WPT,,BELKI,,BELKI,,,,-11.68680278,128.4667861,,,,,,,,,---------W--,YB,,,,,,,,WPT,---p----,NT,86
au.bom:YB.BIGUP.WPT,,BIGUP,,BIGUP,,,,-18.92543056,123.3296444,,,,,,,,,---------W--,YB,,,,,,,,WPT,---p----,WA,69
au.bom:YB.BOING.WPT,,BOING,,BOING,,,,-22.24,127.2505556,,,,,,,,,---------W--,YB,,,,,,,,WPT,---p----,WA,83
au.bom:YB.BUCN.LDM,,BUCN,,BUCHANAN HILLS,,,,-18.9,131.0833333,,,,,,,,,------------,YB,,,,,,,,LDM,---p----,NT,84
au.bom:YB.BUPMO.WPT,,BUPMO,,BUPMO,,,,-13.01333333,137.9483333,,,,,,,,,---------W--,YB,,,,,,,,WPT,---p----,NT,80
au.bom:YB.CLOY.LDM,,CLOY,,CLONEYS CREEK,,,,-20.21666667,142.6,,,,,,,,,------------,YB,,,,,,,,LDM,---p----,QLD,43
au.bom:YB.CRAVN.WPT,,CRAVN,,CRAVN,,,,-32.12666667,151.7666667,,,,,,,,,---------W--,YB,,,,,,,,WPT,---p----,NSW,20
au.bom:YB.DAG.LDM,,DAG,,DUARINGA,,,,-23.72055278,149.6689944,,,,,,,,,------------,YB,,,,,,,,LDM,---p----,QLD,40
au.bom:YB.DEJAY.WPT,,DEJAY,,DEJAY,,,,-28.84125556,150.8955361,,,,,,,,,---------W--,YB,,,,,,,,WPT,---p----,NSW,20
au.bom:YB.DLP.LDM,,DLP,,DOUBLE ISLAND PT,,,,-25.91666667,153.1833333,,,,,,,,,------------,YB,,,,,,,,LDM,---p----,QLD,40
au.bom:YB.DOORA.WPT,,DOORA,,DOORA,,,,-31.90666667,149.0886111,,,,,,,,,---------W--,YB,,,,,,,,WPT,---p----,NSW,20
au.bom:YB.DVM.LDM,,DVM,,DEVILS MARBLES,,,,-20.53333333,134.25,,,,,,,,,------------,YB,,,,,,,,LDM,---p----,NT,84
au.bom:YB.GUGUK.WPT,,GUGUK,,GUGUK,,,,-14.94126111,138.876675,,,,,,,,,---------W--,YB,,,,,,,,WPT,---p----,QLD,45
au.bom:YB.GULFF.WPT,,GULFF,,GULFF,,,,-14.36666667,140,,,,,,,,,---------W--,YB,,,,,,,,WPT,---p----,QLD,45
au.bom:YB.GUNAM.WPT,,GUNAM,,GUNAM,,,,-14.70068056,125.2035167,,,,,,,,,---------W--,YB,,,,,,,,WPT,---p----,WA,69
au.bom:YB.HOKOR.WPT,,HOKOR,,HOKOR,,,,-13.62166667,138,,,,,,,,,---------W--,YB,,,,,,,,WPT,---p----,NT,80
au.bom:YB.HORD.LDM,,HORD,,HORDERN HILLS,,,,-20.65,130.3166667,,,,,,,,,------------,YB,,,,,,,,LDM,---p----,NT,84
au.bom:YB.IDOTO.WPT,,IDOTO,,IDOTO,,,,-11.51832222,126.6467806,,,,,,,,,---------W--,YB,,,,,,,,WPT,---p----,WA,86
au.bom:YB.IGDAM.WPT,,IGDAM,,IGDAM,,,,-32.49853611,150.9124833,,,,,,,,,---------W--,YB,,,,,,,,WPT,---p----,NSW,20
au.bom:YB.IKUMA.WPT,,IKUMA,,IKUMA,,,,-10.43,127.135,,,,,,,,,---------W--,YB,,,,,,,,WPT,---pa---,NT,86
au.bom:YB.KERIN.WPT,,KERIN,,KERIN,,,,-16.21,141.295,,,,,,,,,---------W--,YB,,,,,,,,WPT,---pa---,QLD,45
au.bom:YB.KTG.LDM,,KTG,,KOOLATONG RIVER,,,,-13.08333333,135.65,,,,,,,,,------------,YB,,,,,,,,LDM,---p----,NT,80
au.bom:YB.LOSKU.WPT,,LOSKU,,LOSKU,,,,-30.49245556,152.3592028,,,,,,,,,---------W--,YB,,,,,,,,WPT,---p----,NSW,20
au.bom:YB.LSDW.LDM,,LSDW,,LANSDOWNE,,,,-17.615,126.7433333,,,,,,,,,------------,YB,,,,,,,,LDM,---p----,WA,69
au.bom:YB.MADLU.WPT,,MADLU,,MADLU,,,,-22.4,141.4266667,,,,,,,,,---------W--,YB,,,,,,,,WPT,---p----,QLD,43
au.bom:YB.MEKOG.WPT,,MEKOG,,MEKOG,,,,-12.53333333,140,,,,,,,,,---------W--,YB,,,,,,,,WPT,---p----,QLD,45
au.bom:YB.MIE.LDM,,MIE,,MOONIE,,,,-27.71666667,150.3666667,,,,,,,,,------------,YB,,,,,,,,LDM,---p----,QLD,40
au.bom:YB.MIJ.LDM,,MIJ,,MINJILANG,,,,-11.14826389,132.580475,,,,,,,,,------------,YB,,,,,,,,LDM,---p----,NT,80
au.bom:YB.MRDAK.WPT,,MRDAK,,MRDAK,,,,-15.14333333,138.345,,,,,,,,,---------W--,YB,,,,,,,,WPT,---p----,NT,45
au.bom:YB.MUI.LDM,,MUI,,MURRURUNDI,,,,-31.76666667,150.8333333,,,,,,,,,------------,YB,,,,,,,,LDM,---p----,NSW,20
au.bom:YB.NAILA.WPT,,NAILA,,NAILA,,,,-13.21526389,128.1205667,,,,,,,,,---------W--,YB,,,,,,,,WPT,---p----,WA,86
au.bom:YB.NOPAG.WPT,,NOPAG,,NOPAG,,,,-10.86574722,135.87475,,,,,,,,,---------W--,YB,,,,,,,,WPT,---p----,NT,80
au.bom:YB.NSTA.LDM,,NSTA,,NORTH STAR,,,,-28.916667,150.416667,,,,,,,,,------------,YB,,,,,,,,LDM,---p----,NSW,40
au.bom:YB.OSVOL.WPT,,OSVOL,,OSVOL,,,,-20.251013,122.048776,,,,,,,,,---------W--,YB,,,,,,,,WPT,---p----,WA,68
au.bom:YB.PCB.LDM,,PCB,,PRINCESS CHARLOTTE BAY,,,,-14.33333333,144.1166667,,,,,,,,,------------,YB,,,,,,,,LDM,---p----,QLD,45
au.bom:YB.POTIP.WPT,,POTIP,,POTIP,,,,-21.69363333,125.1329139,,,,,,,,,---------W--,YB,,,,,,,,WPT,---p----,WA,83
au.bom:YB.PRES.LDM,,PRES,,PRESCOTT LAKES,,,,-20.75,125.1666667,,,,,,,,,------------,YB,,,,,,,,LDM,---p----,WA,83
au.bom:YB.PUTY.LDM,,PUTY,,PUTTY,,,,-32.966667,150.75,,,,,,,,,------------,YB,,,,,,,,LDM,---p----,NSW,20
au.bom:YB.RENR.LDM,,RENR,,RENNER SPRINGS,,,,-18.31666667,133.8,,,,,,,,,------------,YB,,,,,,,,LDM,---p----,NT,84
au.bom:YB.RGS.VFA,,RGS,,ROLLINGSTONE,,,,-19.04722222,146.3875,,,,,,,,,------------,YB,,,,,,,,VFA,---p----,QLD,44
au.bom:YB.ROOKI.WPT,,ROOKI,,ROOKI,,,,-10.94714444,139.2045333,,,,,,,,,---------W--,YB,,,,,,,,WPT,---p----,QLD,80
au.bom:YB.RUPUS.WPT,,RUPUS,,RUPUS,,,,-21.323688,133.458082,,,,,,,,,---------W--,YB,,,,,,,,WPT,---p----,NT,84
au.bom:YB.SCATZ.WPT,,SCATZ,,SCATZ,,,,-32.655,150.255,,,,,,,,,---------W--,YB,,,,,,,,WPT,---pa---,NSW,20
au.bom:YB.SHL.LDM,,SHL,,SHELBURNE BAY,,,,-11.88333333,143.0166667,,,,,,,,,------------,YB,,,,,,,,LDM,---p----,QLD,45
au.bom:YB.STC.LDM,,STC,,SCOTT CREEK,,,,-14.83333333,131.8333333,,,,,,,,,------------,YB,,,,,,,,LDM,---p----,NT,80
au.bom:YB.SUG.TSP,,SUG,,SUGARLOAF PT,,,,-32.44444444,152.5402778,,,,,,,,,------------,YB,,,,,,,,TSP,---p----,NSW,20
au.bom:YB.TBL.LDM,,TBL,,TABULAM,,,,-28.88671111,152.5685861,,,,,,,,,------------,YB,,,,,,,,LDM,---p----,NSW,20
au.bom:YB.UNDW.LDM,,UNDW,,UNDEMOW WATERHOLE,,,,-17.58333333,135.25,,,,,,,,,------------,YB,,,,,,,,LDM,---p----,NT,80
au.bom:YB.VANVA.WPT,,VANVA,,VANVA,,,,-22.35833333,149.865,,,,,,,,,---------W--,YB,,,,,,,,WPT,---p----,QLD,44
au.bom:YB.WITE.LDM,,WITE,,LAKE WHITE,,,,-21.1,129.05,,,,,,,,,------------,YB,,,,,,,,LDM,---pa---,NT,84
au.bom:YB.YABF.ALA,,YABF,,ABERFOYLE,,,,-21.675,145.2666667,,,,,,,,,------------,YB,,,,,,,,ALA,---p----,QLD,43
au.bom:YB.YAGD.ALA,,YAGD,,AUGUSTUS DOWNS,,,,-18.5155,139.8787389,,,,,,,,,------------,YB,,,,,,,,ALA,---p----,QLD,45
au.bom:YB.YAMB.AD,,YAMB,,AMBERLEY,,,,-27.64065833,152.7118222,,,,,,,,,--------A---,YB,,,,,,,,AD,---p----,QLD,40
au.bom:YB.YAMC.ALA,,YAMC,,ARAMAC,,,,-22.95938889,145.2525556,,,,,,,,,------------,YB,,,,,,,,ALA,---p----,QLD,43
au.bom:YB.YANL.ALA,,YANL,,ANTHONY LAGOON,,,,-17.97563333,135.5381667,,,,,,,,,------------,YB,,,,,,,,ALA,---p----,NT,80
au.bom:YB.YAPA.ALA,,YAPA,,ANNA PLAINS HS,,,,-19.26363889,121.5120889,,,,,,,,,------------,YB,,,,,,,,ALA,---p----,WA,68
au.bom:YB.YAPH.AD,,YAPH,,ALPHA,,,,-23.64598333,146.5836806,,,,,,,,,--------A---,YB,,,,,,,,AD,---p----,QLD,41
au.bom:YB.YARD.ALA,,YARD,,ARGADARGADA,,,,-21.67638889,136.6777778,,,,,,,,,------------,YB,,,,,,,,ALA,---p----,NT,84
au.bom:YB.YARG.AD,,YARG,,ARGYLE,,,,-16.63683889,128.4513389,,,,,,,,,--------A---,YB,,,,,,,,AD,---p----,WA,69
au.bom:YB.YARM.AD,,YARM,,ARMIDALE,,,,-30.52817778,151.6170917,,,,,,,,,--------A---,YB,,,,,,,,AD,---p----,NSW,20
au.bom:YB.YARY.ALA,,YARY,,ARRABURY,,,,-26.69056667,141.0471167,,,,,,,,,------------,YB,,,,,,,,ALA,---p----,QLD,41
au.bom:YB.YASF.ALA,,YASF,,ASHFORD,,,,-29.31670278,151.0561167,,,,,,,,,------------,YB,,,,,,,,ALA,---p----,NSW,20
au.bom:YB.YATN.ALA,,YATN,,ATHERTON,,,,-17.26203333,145.5144111,,,,,,,,,------------,YB,,,,,,,,ALA,---p----,QLD,45
au.bom:YB.YAUR.AD,,YAUR,,AURUKUN,,,,-13.35384167,141.7208222,,,,,,,,,--------A---,YB,,,,,,,,AD,---p----,QLD,45
au.bom:YB.YAUV.ALA,,YAUV,,AUVERGNE STN,,,,-15.69333333,130.0083333,,,,,,,,,------------,YB,,,,,,,,ALA,---p----,NT,80
au.bom:YB.YAVD.ALA,,YAVD,,AVON DOWNS,,,,-20.03916667,137.5216667,,,,,,,,,------------,YB,,,,,,,,ALA,---p----,NT,84
au.bom:YB.YAYR.ALA,,YAYR,,AYR,,,,-19.59633333,147.3246167,,,,,,,,,------------,YB,,,,,,,,ALA,---p----,QLD,44
au.bom:YB.YBAB.ALA,,YBAB,,BARALABA,,,,-24.186667,149.845,,,,,,,,,------------,YB,,,,,,,,ALA,---p----,QLD,40
au.bom:YB.YBAD.ALA,,YBAD,,BARADINE,,,,-30.955,149.0916667,,,,,,,,,------------,YB,,,,,,,,ALA,---p----,NSW,22
au.bom:YB.YBAF.AD,,YBAF,,BRISBANE/ARCHERFIELD,,,,-27.57034444,153.008025,,,,,,,,,--------A---,YB,,,,,,,,AD,---p----,QLD,40
au.bom:YB.YBAR.AD,,YBAR,,BARCALDINE,,,,-23.56513889,145.3067111,,,,,,,,,--------A---,YB,,,,,,,,AD,---p----,QLD,41
au.bom:YB.YBBN.AD,,YBBN,,BRISBANE,,,,-27.38413056,153.1175667,,,,,,,,,--------A---,YB,,,,,,,,AD,---p----,QLD,40
au.bom:YB.YBCG.AD,,YBCG,,GOLD COAST,,,,-28.16443611,153.5047972,,,,,,,,,--------A---,YB,,,,,,,,AD,---p----,QLD,40
au.bom:YB.YBCK.AD,,YBCK,,BLACKALL,,,,-24.42789444,145.4285528,,,,,,,,,--------A---,YB,,,,,,,,AD,---p----,QLD,41
